branch,time,actual_fine_drive,actual_coarse_drive,direct_drive_difference,fixed_fine_geometry_field_difference,terminal_configuration_metric_difference,gradient_field_pairing_error,source_drive_difference,field_difference_maximum,source_position_difference,momentum_fed_rate_maximum,configuration_metric_fed_rate_maximum,counterfactual_timelike_ratio,valid_for_claim,source_path
MTS,2.625e-05,-4.1403792713142374e-08,-4.161675539320784e-08,2.1296268006546639e-10,2.1296267053045408e-10,6.617444900424222e-24,9.535005684777676e-18,2.12962680064937e-10,7.631416130181524e-18,0.0,2.6007681251660753e-12,5.880349375833593e-14,0.03910678204362955,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-MTS-attempt01\status.json
MTS,2.75e-05,-3.6156555944663193e-08,-3.621698278405685e-08,6.042683939365506e-11,6.042682449659977e-11,0.0,1.489705528116348e-17,6.042683939315875e-11,5.986617112956581e-18,0.0,1.0770602671458515e-11,1.941887406125834e-14,0.0391067579459885,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-MTS-attempt01\status.json
MTS,2.875e-05,-3.736546547985401e-08,-3.742020666305905e-08,5.4741183205043677e-11,5.47412476389625e-11,0.0,6.443391882376286e-17,5.474118320005412e-11,5.610958000849299e-18,0.0,1.0802795236044307e-11,1.5144406995924045e-14,0.039106733848159096,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-MTS-attempt01\status.json
MTS,3.0000000000000004e-05,-4.5386803185340736e-08,-4.5590033170823054e-08,2.032299854823176e-10,2.032300674006241e-10,6.617444900424222e-24,8.191831310548808e-17,2.0322998548181468e-10,6.933427894419478e-18,0.0,2.5719596808207457e-12,4.2964438429776643e-14,0.03910670975041339,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-MTS-attempt01\status.json
MTS,3.125e-05,-3.792584423254773e-08,-3.794480855276153e-08,1.8964320213801287e-11,1.8964568516600664e-11,0.0,2.483027993774578e-16,1.8964320214072602e-11,5.857047541806275e-18,0.0,7.985248638535392e-12,2.19266336866309e-14,0.03910668565259522,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-MTS-attempt01\status.json
MTS,3.2500000000000004e-05,-4.261383272210525e-08,-4.270967565759123e-08,9.584293548598298e-11,9.584323120496663e-11,0.0,2.957189836523315e-16,9.584293549993255e-11,5.935345149868094e-18,0.0,1.1813079323335476e-11,1.479827545142747e-14,0.039106661554635894,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-MTS-attempt01\status.json
MTS,3.375e-05,-4.8319458349846654e-08,-4.8508825064423203e-08,1.8936671457654896e-10,1.8936661667565102e-10,0.0,9.790089793845097e-17,1.89366714570269e-10,6.74518143933711e-18,0.0,7.222286028778224e-12,4.973983464690024e-14,0.039106637456767984,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-MTS-attempt01\status.json
MTS,3.5000000000000004e-05,-4.147988138786105e-08,-4.148268636719765e-08,2.8049793366022716e-12,2.8050039257697224e-12,6.617444900424222e-24,2.4589174068214086e-17,2.8049793353515745e-12,6.1174042939685655e-18,0.0,3.5073855170035787e-12,2.202057980404959e-14,0.03910661335875002,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-MTS-attempt01\status.json
MTS,3.625e-05,-4.9931228293851226e-08,-5.007308078387648e-08,1.4185249002525052e-10,1.418524729411855e-10,0.0,1.708406502483643e-17,1.4185249003422378e-10,5.96303915677637e-18,0.0,1.1228300299086225e-11,4.775596151168626e-14,0.039106589260616886,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-MTS-attempt01\status.json
MTS,3.7500000000000003e-05,-5.265474318387712e-08,-5.281048013590516e-08,1.557369520280413e-10,1.557371867419821e-10,-6.617444900424222e-24,2.3471393420292893e-16,1.5573695202718764e-10,6.708322271241747e-18,0.0,1.0291448574416325e-11,5.368399952007663e-14,0.03910656516254345,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-MTS-attempt01\status.json
MTS,3.875e-05,-4.719661902408552e-08,-4.719017892840385e-08,-6.4400956816703816e-12,-6.440168099002145e-12,-6.617444900424222e-24,7.241733838074327e-17,-6.440095659382827e-12,6.935691060575423e-18,0.0,1.7110098060602558e-12,3.014808454960098e-14,0.039106541064270355,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-MTS-attempt01\status.json
MTS,4e-05,-5.717403306659899e-08,-5.734610592502224e-08,1.7207285842325037e-10,1.7207287857098435e-10,0.0,2.0147733977808786e-17,1.7207285842187394e-10,7.67034655853072e-18,0.0,8.586586682565091e-12,4.819679811832759e-14,0.039106516965948517,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-MTS-attempt01\status.json
reference,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.526544070126981e-18,4.526544070126981e-18,0.039107288080192135,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-reference-attempt01\status.json
reference,1.25e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1172629272080238e-18,0.0,1.873288254118053e-12,6.517627149787986e-15,0.0391072639838874,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-reference-attempt01\status.json
reference,2.5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27439114606871e-18,0.0,3.360701094582351e-12,2.2134204191519275e-14,0.03910723988755853,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-reference-attempt01\status.json
reference,3.7500000000000005e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.231689370971398e-18,0.0,4.2902867673430545e-12,5.798264429354716e-14,0.039107215791185285,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-reference-attempt01\status.json
reference,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.184856156398917e-17,0.0,4.25982182470932e-12,1.0930584779231805e-13,0.03910719169475422,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-reference-attempt01\status.json
reference,6.25e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6066633440082876e-17,0.0,3.4021850549474598e-12,1.7074606702485728e-13,0.039107167598258843,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-reference-attempt01\status.json
