same_parent_branch_id,path_id,paint_op,operator_sequence,point_count,line_width,stroke_color,fill_color,min_x,max_x,min_y,max_y,span_x,span_y,role_guess,score_ready,valid_prediction_row,valid_for_claim,claim_allowed
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_68,S,ml,2,9.35418,black,"rgb(0,0,0)",4823.43,4824.29,592.512,598.465,0.86,5.953,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_69,S,ml,2,9.35418,black,"rgb(0,0,0)",4823.43,4824.29,586.273,592.512,0.86,6.239,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_70,S,ml,2,9.35418,black,"rgb(0,0,0)",4821.17,4823.43,580.605,586.273,2.26,5.668,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_71,S,ml,2,9.35418,black,"rgb(0,0,0)",4817.2,4821.17,575.785,580.605,3.97,4.82,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_72,S,ml,2,9.35418,black,"rgb(0,0,0)",4812.38,4817.2,571.816,575.785,4.82,3.969,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_73,S,ml,2,9.35418,black,"rgb(0,0,0)",4806.71,4812.38,569.551,571.816,5.67,2.265,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_74,S,ml,2,9.35418,black,"rgb(0,0,0)",4800.47,4806.71,568.699,569.551,6.24,0.852,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_75,S,ml,2,9.35418,black,"rgb(0,0,0)",4800.47,4806.71,567.848,568.699,6.24,0.851,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_76,S,ml,2,9.35418,black,"rgb(0,0,0)",4806.71,4812.38,565.582,567.848,5.67,2.266,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_77,S,ml,2,9.35418,black,"rgb(0,0,0)",4812.38,4817.2,561.613,565.582,4.82,3.969,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_78,S,ml,2,9.35418,black,"rgb(0,0,0)",4817.2,4821.17,556.793,561.613,3.97,4.82,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_79,S,ml,2,9.35418,black,"rgb(0,0,0)",4821.17,4823.43,551.125,556.793,2.26,5.668,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_80,S,ml,2,9.35418,black,"rgb(0,0,0)",4823.43,4824.29,544.891,551.125,0.86,6.234,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_81,S,ml,2,9.35418,black,"rgb(0,0,0)",4823.43,4824.29,538.938,544.891,0.86,5.953,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_82,S,ml,2,9.35418,black,"rgb(0,0,0)",4821.17,4823.43,532.984,538.938,2.26,5.954,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_83,S,ml,2,9.35418,black,"rgb(0,0,0)",4817.2,4821.17,528.164,532.984,3.97,4.82,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_84,S,ml,2,9.35418,black,"rgb(0,0,0)",4812.38,4817.2,524.48,528.164,4.82,3.684,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_85,S,ml,2,9.35418,black,"rgb(0,0,0)",4806.71,4812.38,521.93,524.48,5.67,2.55,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_86,S,ml,2,9.35418,black,"rgb(0,0,0)",4800.47,4806.71,521.363,521.93,6.24,0.567,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_87,S,ml,2,9.35418,black,"rgb(0,0,0)",4794.52,4800.47,521.363,521.93,5.95,0.567,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_88,S,ml,2,9.35418,black,"rgb(0,0,0)",4788.57,4794.52,521.93,524.48,5.95,2.55,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_89,S,ml,2,9.35418,black,"rgb(0,0,0)",4783.75,4788.57,524.48,528.164,4.82,3.684,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_90,S,ml,2,9.35418,black,"rgb(0,0,0)",4780.07,4783.75,528.164,532.984,3.68,4.82,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_91,S,ml,2,9.35418,black,"rgb(0,0,0)",4777.52,4780.07,532.984,538.938,2.55,5.954,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_92,S,ml,2,9.35418,black,"rgb(0,0,0)",4776.66,4777.52,538.938,544.891,0.86,5.953,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_93,S,ml,2,11.6219,black,"rgb(0,0,0)",4219.95,4278.06,707.879,707.879,58.11,0.0,tick_text_or_minor_path,False,False,False,False
